OTU,OTUType,OTUcolor
Otu1,Shared Taxa,<b style='color:#828382'>Otu1
Otu10,Shared Taxa,<b style='color:#828382'>Otu10
Otu102,Shared Taxa,<b style='color:#828382'>Otu102
Otu122,Donor Taxa,<b style='color:#377EB8'>Otu122
Otu13,Shared Taxa,<b style='color:#828382'>Otu13
Otu14,Shared Taxa,<b style='color:#828382'>Otu14
Otu15,Donor Taxa,<b style='color:#377EB8'>Otu15
Otu154,Donor Taxa,<b style='color:#377EB8'>Otu154
Otu159,Donor Taxa,<b style='color:#377EB8'>Otu159
Otu2,Shared Taxa,<b style='color:#828382'>Otu2
Otu20,Shared Taxa,<b style='color:#828382'>Otu20
Otu21,Shared Taxa,<b style='color:#828382'>Otu21
Otu22,Shared Taxa,<b style='color:#828382'>Otu22
Otu23,Donor Taxa,<b style='color:#377EB8'>Otu23
Otu25,Donor Taxa,<b style='color:#377EB8'>Otu25
Otu26,Donor Taxa,<b style='color:#377EB8'>Otu26
Otu3,Shared Taxa,<b style='color:#828382'>Otu3
Otu30,Donor Taxa,<b style='color:#377EB8'>Otu30
Otu31,Donor Taxa,<b style='color:#377EB8'>Otu31
Otu32,Donor Taxa,<b style='color:#377EB8'>Otu32
Otu33,Donor Taxa,<b style='color:#377EB8'>Otu33
Otu34,Shared Taxa,<b style='color:#828382'>Otu34
Otu37,Shared Taxa,<b style='color:#828382'>Otu37
Otu39,Shared Taxa,<b style='color:#828382'>Otu39
Otu4,Shared Taxa,<b style='color:#828382'>Otu4
Otu40,Shared Taxa,<b style='color:#828382'>Otu40
Otu42,Shared Taxa,<b style='color:#828382'>Otu42
Otu43,Donor Taxa,<b style='color:#377EB8'>Otu43
Otu44,Donor Taxa,<b style='color:#377EB8'>Otu44
Otu46,Donor Taxa,<b style='color:#377EB8'>Otu46
Otu5,Shared Taxa,<b style='color:#828382'>Otu5
Otu51,Donor Taxa,<b style='color:#377EB8'>Otu51
Otu52,Donor Taxa,<b style='color:#377EB8'>Otu52
Otu6,Shared Taxa,<b style='color:#828382'>Otu6
Otu63,Shared Taxa,<b style='color:#828382'>Otu63
Otu66,Shared Taxa,<b style='color:#828382'>Otu66
Otu7,Shared Taxa,<b style='color:#828382'>Otu7
Otu72,Shared Taxa,<b style='color:#828382'>Otu72
Otu73,Donor Taxa,<b style='color:#377EB8'>Otu73
Otu75,Shared Taxa,<b style='color:#828382'>Otu75
Otu76,Shared Taxa,<b style='color:#828382'>Otu76
Otu78,Shared Taxa,<b style='color:#828382'>Otu78
Otu8,Donor Taxa,<b style='color:#377EB8'>Otu8
Otu84,Donor Taxa,<b style='color:#377EB8'>Otu84
Otu85,Shared Taxa,<b style='color:#828382'>Otu85
Otu87,Shared Taxa,<b style='color:#828382'>Otu87
Otu9,Shared Taxa,<b style='color:#828382'>Otu9
Otu91,Donor Taxa,<b style='color:#377EB8'>Otu91
Otu97,Donor Taxa,<b style='color:#377EB8'>Otu97
Otu98,Shared Taxa,<b style='color:#828382'>Otu98
Otu113,Recipient Taxa,<b style='color:#E41A1C'>Otu113
Otu114,Recipient Taxa,<b style='color:#E41A1C'>Otu114
Otu118,Recipient Taxa,<b style='color:#E41A1C'>Otu118
Otu12,Recipient Taxa,<b style='color:#E41A1C'>Otu12
Otu123,Recipient Taxa,<b style='color:#E41A1C'>Otu123
Otu127,Recipient Taxa,<b style='color:#E41A1C'>Otu127
Otu129,Recipient Taxa,<b style='color:#E41A1C'>Otu129
Otu136,Recipient Taxa,<b style='color:#E41A1C'>Otu136
Otu142,Recipient Taxa,<b style='color:#E41A1C'>Otu142
Otu155,Recipient Taxa,<b style='color:#E41A1C'>Otu155
Otu166,Recipient Taxa,<b style='color:#E41A1C'>Otu166
Otu17,Recipient Taxa,<b style='color:#E41A1C'>Otu17
Otu18,Recipient Taxa,<b style='color:#E41A1C'>Otu18
Otu19,Recipient Taxa,<b style='color:#E41A1C'>Otu19
Otu28,Recipient Taxa,<b style='color:#E41A1C'>Otu28
Otu38,Recipient Taxa,<b style='color:#E41A1C'>Otu38
Otu45,Recipient Taxa,<b style='color:#E41A1C'>Otu45
Otu48,Recipient Taxa,<b style='color:#E41A1C'>Otu48
Otu54,Recipient Taxa,<b style='color:#E41A1C'>Otu54
Otu55,Recipient Taxa,<b style='color:#E41A1C'>Otu55
Otu56,Recipient Taxa,<b style='color:#E41A1C'>Otu56
Otu62,Recipient Taxa,<b style='color:#E41A1C'>Otu62
Otu64,Recipient Taxa,<b style='color:#E41A1C'>Otu64
Otu67,Recipient Taxa,<b style='color:#E41A1C'>Otu67
Otu90,Recipient Taxa,<b style='color:#E41A1C'>Otu90
Otu99,Recipient Taxa,<b style='color:#E41A1C'>Otu99
