HammingDistance,BarcodeReadCounts,BarcodeParticleCounts,ProportionofBarcodesByParticles,ProportionofBarcodesByReads,BarcodeSet
0,161058912,1160811,0.674284436363848,0.961639134231621,Barcode 1
1,2859217,408923,0.237532565224842,0.0170716101724339,Barcode 1
2,782419,61692,0.0358352526364399,0.00467161189916874,Barcode 1
3,2076518,67279,0.0390805933042703,0.0123983264691145,Barcode 1
4,606356,20474,0.0118928055903273,0.0036203874199532,Barcode 1
5,100307,2362,0.00137202338597016,0.000598905924792111,Barcode 1
6,4,4,2.32349430308241e-06,2.38829164382191e-08,Barcode 1
0,156058805,1223422,0.710653511816421,0.931784849815832,Barcode 2
1,11105530,444354,0.25811349688797,0.0663081112480339,Barcode 2
2,307567,49276,0.0286231263196722,0.00183639924003843,Barcode 2
3,11624,4399,0.00255526285981488,6.94037551694647e-05,Barcode 2
4,207,94,5.46021161224365e-05,1.23594092567784e-06,Barcode 2
0,150158431,1209689,0.702676375000363,0.896555315016773,Barcode 3
1,15588797,438045,0.254448765498433,0.0930764840308402,Barcode 3
2,1647990,65765,0.0382011507105536,0.00983970186525518,Barcode 3
3,87956,7934,0.00460865095016395,0.00052516144956,Barcode 3
4,559,112,6.50578404863074e-05,3.33763757224112e-06,Barcode 3
